,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,0,ZA,1595190248,93,-34.53,20.04,55.4,1.63
1,Ushuaia,40,AR,1595190189,100,-54.8,-68.3,33.8,6.93
2,Laas,39,IT,1595190311,59,46.62,10.7,64.4,3.36
3,Grindavik,75,IS,1595190147,71,63.84,-22.43,50.0,8.05
4,Arraial do Cabo,0,BR,1595190252,78,-22.97,-42.03,73.4,17.22
5,Lüderitz,0,NA,1595190311,27,-26.65,15.16,68.0,6.93
6,Severo-Kuril'sk,100,RU,1595190312,91,50.68,156.12,50.32,9.84
7,Dikson,100,RU,1595190312,99,73.51,80.55,41.11,14.61
8,Mar del Plata,75,AR,1595190299,93,-38.0,-57.56,55.4,13.87
9,Saint-Philippe,75,RE,1595190087,77,-21.36,55.77,68.0,14.99
10,Moree,0,AU,1595190304,86,-29.47,149.85,37.4,6.24
11,Alofi,75,NU,1595190230,78,-19.06,-169.92,75.2,6.93
12,Bethel,1,US,1595190312,41,41.37,-73.41,95.0,9.17
13,Mount Isa,0,AU,1595190312,17,-20.73,139.5,62.6,5.82
14,Nantucket,90,US,1595190312,88,41.28,-70.1,75.99,11.41
15,Hermanus,1,ZA,1595190313,94,-34.42,19.23,51.01,8.01
16,La Ronge,75,CA,1595190231,77,55.1,-105.28,64.4,8.05
17,Hasaki,75,JP,1595190209,100,35.73,140.83,71.01,0.94
18,New Norfolk,51,AU,1595190065,86,-42.78,147.06,44.01,1.99
19,Isangel,20,VU,1595190296,88,-19.55,169.27,64.4,5.99
20,Puerto Ayora,75,EC,1595190232,69,-0.74,-90.35,77.0,11.41
21,Rikitea,37,PF,1595190313,73,-23.12,-134.97,68.58,16.26
22,Los Llanos de Aridane,0,ES,1595190313,78,28.66,-17.92,78.01,14.99
23,Barrow,40,US,1595190314,80,71.29,-156.79,35.6,9.17
24,Port Lincoln,56,AU,1595190097,75,-34.73,135.87,51.3,9.28
25,Tpig,0,RU,1595190314,54,41.78,47.59,62.98,6.35
26,Pljevlja,43,ME,1595190314,100,43.33,19.33,53.6,3.36
27,Bogorodskoye,86,RU,1595190314,92,56.55,37.88,58.05,2.62
28,Albany,44,US,1595190314,40,42.6,-73.97,97.0,9.13
29,Helena,1,US,1595190171,22,46.59,-112.04,80.6,9.17
30,Dickinson,1,US,1595190182,59,29.46,-95.05,91.99,9.17
31,Miles City,40,US,1595190314,21,46.41,-105.84,82.4,8.05
32,Mataura,100,NZ,1595190130,83,-46.19,168.86,39.0,3.0
33,Xining,95,CN,1595190314,60,36.62,101.77,52.05,3.06
34,Cairns,40,AU,1595190196,82,-16.92,145.77,60.8,8.05
35,Antofagasta,40,CL,1595190300,67,-23.65,-70.4,59.0,11.41
36,Vaini,90,TO,1595190229,100,-21.2,-175.2,66.2,6.93
37,Chase,75,CA,1595190065,39,50.82,-119.69,80.6,16.11
38,Caravelas,82,BR,1595190267,82,-17.71,-39.25,72.95,8.34
39,Kristiansund,100,NO,1595190315,82,63.11,7.73,55.4,11.41
40,Saint George,1,US,1595190081,8,37.1,-113.58,106.0,4.7
41,Laibin,100,CN,1595190315,91,23.7,109.27,78.89,6.33
42,Bac Lieu,100,VN,1595190315,77,9.29,105.72,81.36,3.96
43,Jamestown,20,US,1595190131,100,42.1,-79.24,69.8,12.75
44,Constitución,91,CL,1595190307,86,-35.33,-72.42,55.27,7.54
45,Nikolskoye,0,RU,1595190250,68,59.7,30.79,66.2,4.47
46,Punta Arenas,75,CL,1595190224,69,-53.15,-70.92,35.6,9.17
47,Blyth,59,GB,1595190315,58,55.13,-1.51,60.01,9.17
48,Tarko-Sale,100,RU,1595190315,94,64.92,77.78,52.0,21.27
49,Lebu,2,CL,1595190316,85,-37.62,-73.65,54.19,12.1
50,Upernavik,91,GL,1595190316,55,72.79,-56.15,49.75,4.41
51,Kralendijk,75,BQ,1595190316,66,12.15,-68.27,87.8,18.34
52,Capim Grosso,67,BR,1595190064,73,-11.38,-40.01,71.82,14.47
53,Imelda,100,PH,1595190316,80,7.65,123.95,78.17,4.0
54,Erenhot,0,CN,1595190316,31,43.65,111.98,71.04,7.92
55,Bengkulu,40,ID,1595190317,91,-3.8,102.27,76.24,7.05
56,Saint Paul Harbor,90,US,1595190096,82,57.79,-152.41,57.2,11.41
57,Lorengau,42,PG,1595190317,75,-2.02,147.27,81.1,7.7
58,Hobart,40,AU,1595190118,65,-42.88,147.33,46.4,8.05
59,Ābyek,23,IR,1595190317,22,36.07,50.55,86.0,9.17
60,Oriximiná,37,BR,1595190317,44,-1.77,-55.87,90.32,7.74
61,Kibondo,45,TZ,1595190317,48,-3.59,30.72,63.82,2.19
62,Tasiilaq,0,GL,1595190174,58,65.61,-37.64,53.6,6.93
63,Khatanga,95,RU,1595190318,79,71.97,102.5,51.57,5.41
64,Torbay,20,CA,1595190073,43,47.67,-52.73,75.99,6.93
65,Sanaa,95,YE,1595190318,42,15.35,44.21,69.35,7.14
66,East London,0,ZA,1595190318,74,-33.02,27.91,63.16,15.43
67,Shar,89,KZ,1595190318,65,49.59,81.05,67.75,4.05
68,Forbes,0,AU,1595190318,79,-33.38,148.02,41.0,6.55
69,Mahébourg,40,MU,1595190128,72,-20.41,57.7,68.0,12.75
70,Saldanha,0,ZA,1595190318,81,-33.01,17.94,51.8,2.24
71,Carmo do Paranaíba,0,BR,1595190318,55,-19.0,-46.32,71.01,4.0
72,Biryusinsk,66,RU,1595190319,86,55.96,97.82,46.15,2.64
73,Busselton,63,AU,1595190198,75,-33.65,115.33,45.0,7.9
74,Lima,75,PE,1595190206,68,-12.04,-77.03,66.2,6.93
75,Norman Wells,75,CA,1595190264,67,65.28,-126.83,62.6,4.7
76,Anzio,0,IT,1595190319,64,41.49,12.62,73.99,10.11
77,Atuona,39,PF,1595190319,72,-9.8,-139.03,79.52,14.14
78,Mamou,83,GN,1595190097,93,10.5,-12.0,69.58,3.87
79,Novozaimka,57,RU,1595190319,65,56.49,66.92,72.01,0.67
80,Igarka,100,RU,1595190319,69,67.47,86.58,53.53,8.5
81,Katobu,3,ID,1595190319,90,-4.94,122.53,72.52,5.19
82,Ostrovnoy,0,RU,1595190319,70,68.05,39.51,65.64,15.05
83,Dana Point,6,US,1595190085,50,33.47,-117.7,84.99,12.37
84,Somerset,20,US,1595190320,46,40.57,-74.55,97.0,10.29
85,Bad Münstereifel,21,DE,1595190320,58,50.55,6.77,68.0,3.29
86,Baruun-Urt,53,MN,1595190320,68,46.68,113.28,50.4,10.22
87,Pitanga,24,BR,1595190320,70,-24.76,-51.76,68.49,4.09
88,Vanimo,72,PG,1595190320,85,-2.67,141.3,76.35,4.88
89,Poya,16,NC,1595190320,79,-21.35,165.15,64.65,3.51
90,Westport,1,US,1595190320,52,41.14,-73.36,91.4,16.11
91,Coyhaique,90,CL,1595190321,85,-45.58,-72.07,33.8,6.93
92,Corinth,0,GR,1595190321,55,37.94,22.96,78.01,1.01
93,San Patricio,20,MX,1595190160,70,19.22,-104.7,89.6,13.87
94,San Vicente,0,AR,1595190321,64,-26.62,-54.13,74.46,3.83
95,Tigil',33,RU,1595190321,85,57.8,158.67,51.48,6.53
96,Tshikapa,47,CD,1595190321,31,-6.42,20.8,72.0,2.24
97,Itarema,6,BR,1595190321,68,-2.92,-39.92,80.13,16.64
98,Ambāgarh Chauki,100,IN,1595190321,79,20.78,80.72,80.87,7.92
99,Ikon-Khalk,0,RU,1595190321,78,44.31,41.91,71.06,0.29
100,Saint-Augustin,81,CA,1595190322,48,51.23,-58.65,76.17,9.62
101,Road Town,20,VG,1595190322,58,18.42,-64.62,89.6,14.99
102,Cabo San Lucas,40,MX,1595190056,38,22.89,-109.91,93.2,11.41
103,Athabasca,100,CA,1595190273,74,54.72,-113.29,64.94,8.37
104,Yangi Marg`ilon,2,UZ,1595190322,36,40.43,71.72,77.0,9.17
105,Maniitsoq,99,GL,1595190322,81,65.42,-52.9,50.2,2.73
106,Tura,99,IN,1595190188,97,25.52,90.22,74.88,7.47
107,Qaanaaq,100,GL,1595190099,66,77.48,-69.36,48.06,1.79
108,Deep River,90,CA,1595190322,73,46.1,-77.5,77.0,13.89
109,Steamboat Springs,1,US,1595190272,16,40.48,-106.83,86.0,10.29
110,Yellowknife,75,CA,1595190212,68,62.46,-114.35,70.0,12.75
111,Agüimes,0,ES,1595190323,33,27.91,-15.45,86.0,28.86
112,Bluff,100,NZ,1595190130,83,-46.6,168.33,39.0,3.0
113,San Luis,0,AR,1595190323,49,-33.3,-66.34,66.34,5.5
114,Guerrero Negro,4,MX,1595190233,58,27.98,-114.06,78.85,16.24
115,Husavik,40,IS,1595190034,71,66.04,-17.34,50.0,9.17
116,Cape Town,75,ZA,1595190323,93,-33.93,18.42,61.0,11.41
117,Butaritari,99,KI,1595190225,75,3.07,172.79,83.35,15.68
118,La Palma,1,US,1595190288,45,33.85,-118.05,88.0,8.05
119,Ponta do Sol,20,PT,1595190099,56,32.67,-17.1,73.4,14.99
120,Tamale,100,GH,1595190323,68,9.4,-0.84,80.24,5.57
121,Jinchang,100,CN,1595190323,24,38.5,102.17,69.78,1.59
122,Haimen,100,CN,1595190323,88,23.19,116.61,80.6,8.03
123,Kapaa,75,US,1595190323,83,22.08,-159.32,84.2,14.99
124,Hithadhoo,100,MV,1595190197,79,-0.6,73.08,82.74,16.28
125,George Town,40,MY,1595190277,100,5.41,100.34,80.6,4.7
126,Henties Bay,0,NA,1595190054,25,-22.12,14.28,71.01,8.59
127,Castro,53,BR,1595190324,70,-24.79,-50.01,67.42,3.8
128,Esperance,90,AU,1595190324,81,-33.87,121.9,50.0,4.7
129,Salym,0,RU,1595190324,86,60.06,71.48,60.84,8.46
130,Chokurdakh,80,RU,1595190324,51,70.63,147.92,66.18,15.57
131,São Marcos,0,BR,1595190324,35,-28.97,-51.07,75.99,3.02
132,Carahue,40,CL,1595190324,62,-38.7,-73.17,59.0,10.29
133,Lenger,0,KZ,1595190324,26,42.18,69.88,84.2,11.18
134,Fairbanks,90,US,1595190324,77,64.84,-147.72,64.4,4.7
135,Rybnoye,0,RU,1595190325,82,54.73,39.51,57.99,5.41
136,Geraldton,0,AU,1595190202,87,-28.77,114.6,48.2,8.05
137,Nicaea,0,TR,1595190325,78,40.43,29.72,73.4,2.62
138,Aldan,100,RU,1595190325,80,58.6,125.39,61.52,5.77
